,0
0,13
1,11
2,14
3,18
4,16
5,16
6,15
7,12
8,11
9,10
10,10
11,8
12,7
13,16
14,15
15,16
16,15
17,21
18,19
19,17
20,14
21,11
22,8
23,10
24,6
25,16
26,21
27,18
28,21
29,21
30,17
31,16
32,10
33,13
34,21
35,19
36,16
37,20
38,15
39,21
40,17
41,13
42,13
43,10
44,11
45,21
46,15
47,13
48,10
49,12
50,11
51,19
52,19
53,14
54,14
55,14
56,13
57,10
58,20
59,19
60,18
61,12
62,11
63,9
64,11
65,12
66,10
67,17
68,10
69,16
70,13
71,13
72,14
73,12
74,11
75,8
76,8
77,7
78,20
79,15
80,16
81,10
82,14
83,13
84,13
85,11
86,7
87,18
88,16
89,16
90,18
91,16
92,11
93,13
94,12
95,18
96,17
97,10
98,21
99,14
100,14
101,11
102,11
103,8
104,10
105,10
106,21
107,18
108,14
109,13
110,14
111,14
112,16
113,16
114,12
115,11
116,14
117,15
118,13
119,21
120,14
121,12
122,14
123,13
124,12
125,13
126,21
127,18
128,12
129,18
130,17
131,11
132,11
133,21
134,21
135,20
136,18
137,14
138,10
139,14
140,21
141,16
142,15
143,13
144,14
145,15
146,11
147,14
148,11
149,11
150,12
151,14
152,10
153,15
154,15
155,9
156,12
157,21
158,14
159,10
160,10
161,11
162,8
163,9
164,14
165,13
166,13
167,14
168,18
169,12
170,13
171,10
172,13
173,9
174,9
175,15
176,13
177,8
178,11
179,12
180,15
181,14
182,11
183,20
184,18
185,14
186,13
187,12
188,14
189,12
190,14
191,13
192,12
193,14
194,14
195,10
196,19
197,15
198,14
199,15
200,14
201,21
202,19
203,21
204,12
205,14
206,12
207,14
208,14
209,12
210,14
211,19
212,12
213,21
214,14
215,14
216,10
217,10
218,15
219,15
220,11
221,21
222,15
223,15
224,15
225,15
226,16
227,14
228,18
229,11
230,21
231,20
232,20
233,14
234,15
235,10
236,9
237,21
238,21
239,17
240,17
241,11
242,13
243,16
244,13
245,15
246,13
247,10
248,11
249,9
250,16
251,13
252,14
253,15
254,14
255,12
256,19
257,15
258,12
259,15
260,14
261,12
262,10
263,21
264,19
265,16
266,5
267,5
268,3
269,3
270,5
271,4
272,5
273,4
274,3
275,2
276,3
277,3
278,4
279,4
280,3
281,5
282,3
283,3
284,3
285,5
286,3
287,3
288,3
289,3
290,3
291,5
292,5
293,3
294,3
295,3
296,3
297,5
298,3
299,3
300,5
301,3
302,17
303,13
304,15
305,3
306,3
307,5
308,5
309,3
310,2
311,5
312,3
313,2
314,3
315,2
316,2
317,4
318,3
319,7
320,3
321,3
322,2
323,3
324,2
325,3
326,3
327,2
328,6
329,3
330,4
331,5
332,3
333,4
334,3
335,2
336,4
337,6
338,2
339,4
340,3
341,3
342,5
343,4
344,3
345,5
346,2
347,3
348,4
349,2
350,2
351,2
352,3
353,3
354,4
355,4
356,3
357,3
358,3
359,3
360,3
361,3
362,4
363,2
364,3
365,3
366,4
367,6
368,3
369,3
370,4
371,3
372,3
373,3
374,4
375,3
376,4
377,3
378,3
379,3
380,18
381,18
382,14
383,7
384,3
385,4
386,2
387,2
388,4
389,3
390,3
391,5
392,3
393,2
394,2
395,2
396,3
397,5
398,7
399,5
400,3
401,5
402,3
403,5
404,3
405,5
406,4
407,4
408,3
409,5
410,3
411,3
412,5
413,5
414,3
415,3
416,3
417,4
418,4
419,3
420,21
421,21
422,3
423,3
424,3
425,3
426,3
427,5
428,3
429,3
430,2
431,3
432,4
433,4
434,4
435,3
436,3
437,3
438,3
439,3
440,13
441,11
442,10
443,7
444,8
445,12
446,3
447,4
448,5
449,5
450,5
451,5
452,2
453,5
454,5
455,6
456,4
457,3
458,3
459,3
460,3
461,4
462,4
463,3
464,4
465,6
466,3
467,3
468,3
469,3
470,3
471,3
472,7
473,4
474,4
475,4
476,3
477,3
478,3
479,3
480,3
481,5
482,8
483,3
484,2
485,5
486,2
487,3
488,5
489,3
490,3
491,3
492,2
493,5
494,21
495,19
496,15
497,15
498,18
499,3
500,6
501,4
502,3
503,5
504,9
505,3
506,15
507,14
508,2
509,2
510,3
511,3
512,6
513,7
514,3
515,8
516,3
517,16
518,14
519,13
520,7
521,9
522,8
523,9
524,3
525,4
526,4
527,3
528,4
529,3
530,3
531,4
532,3
533,3
534,4
535,3
536,5
537,2
538,2
539,4
540,3
541,3
542,5
543,3
544,12
545,17
546,12
547,4
548,5
549,5
550,3
551,3
552,3
553,3
554,3
555,6
556,3
557,5
558,4
559,5
560,4
561,6
562,4
563,5
564,4
565,6
566,3
567,6
568,7
569,4
570,4
571,5
572,3
573,3
574,21
575,16
576,13
577,15
578,5
579,5
580,5
581,3
582,3
583,3
584,3
585,5
586,5
587,3
588,3
589,3
590,5
591,3
592,3
593,5
594,7
595,5
596,6
597,3
598,3
599,6
600,6
601,7
602,3
603,4
604,6
605,3
606,3
607,2
608,6
609,6
610,2
611,4
612,4
613,6
614,14
615,4
616,5
617,3
618,3
619,5
620,8
621,5
622,5
623,3
624,5
625,3
626,5
627,5
628,2
629,3
630,2
631,7
632,2
633,2
634,5
635,5
636,3
637,2
638,4
639,5
640,6
641,3
642,5
643,3
644,5
645,6
646,3
647,3
648,5
649,4
650,5
651,4
652,3
653,5
654,20
655,16
656,20
657,16
658,11
659,13
660,12
661,12
662,6
663,3
664,2
665,7
666,7
667,2
668,3
669,5
670,3
671,8
672,5
673,4
674,3
675,4
676,3
677,3
678,5
679,3
680,3
681,17
682,15
683,10
684,16
685,8
686,15
687,12
688,20
689,18
690,17
691,14
692,14
693,8
694,13
695,9
696,9
697,20
698,13
699,13
700,21
701,16
702,16
703,11
704,21
705,20
706,17
707,21
708,15
709,16
710,18
711,21
712,16
713,12
714,13
715,12
716,21
717,20
718,15
719,21
720,17
721,11
722,15
723,13
724,12
725,17
726,14
727,13
728,11
729,11
730,10
731,13
732,16
733,11
734,21
735,21
736,17
737,15
738,12
739,11
740,10
741,7
742,6
743,13
744,21
745,13
746,8
747,10
748,10
749,17
750,12
751,13
752,19
753,17
754,16
755,17
756,15
757,16
758,15
759,9
760,10
761,14
762,14
763,15
764,8
765,21
766,17
767,14
768,13
769,12
770,8
771,7
772,15
773,15
774,16
775,16
776,12
777,9
778,21
779,15
780,17
781,16
782,18
783,16
784,11
785,14
786,15
787,17
788,21
789,21
790,14
791,21
792,14
793,17
794,13
795,12
796,6
