,0
0,3
1,1
2,1
3,1
4,1
5,0
6,1
7,2
8,2
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,2
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,3
26,2
27,1
28,1
29,1
30,0
31,0
32,1
33,0
34,1
35,1
36,2
37,2
38,2
39,1
40,0
41,0
42,2
43,1
44,2
45,1
46,1
47,1
48,3
49,1
50,0
51,0
52,0
53,0
54,2
55,1
56,1
57,1
58,1
59,0
60,0
61,3
62,2
63,1
64,1
65,0
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,3
76,1
77,1
78,3
79,2
80,1
81,0
82,0
83,3
84,1
85,1
86,2
87,3
88,2
89,1
90,4
91,3
92,2
93,5
94,1
95,1
96,1
97,2
98,1
99,1
100,0
101,0
102,1
103,2
104,2
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,0
114,1
115,1
116,2
117,2
118,2
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,3
184,1
185,1
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,2
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,2
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,2
292,2
293,2
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,7
358,3
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,2
378,2
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,1
459,1
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,4
498,3
499,2
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,1
539,0
540,0
541,3
542,1
543,1
544,1
545,1
546,0
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,3
558,1
559,1
560,3
561,2
562,1
563,0
564,0
565,2
566,1
567,1
568,2
569,2
570,1
571,1
572,0
573,1
574,1
575,3
576,2
577,1
578,1
579,0
580,1
581,1
582,3
583,1
584,0
585,0
586,0
587,2
588,1
589,10
590,3
591,2
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,2
600,1
601,2
602,1
603,1
604,1
605,1
606,0
607,0
608,0
609,1
610,0
611,0
612,1
613,1
614,3
615,2
616,1
617,1
618,0
619,1
620,1
621,1
622,2
623,1
624,0
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,0
639,0
640,0
641,0
642,0
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,1
652,0
653,1
654,0
655,1
656,1
657,1
658,3
659,1
660,1
661,1
662,1
663,0
664,4
665,4
666,2
667,1
668,1
669,2
670,2
671,3
672,2
673,1
674,1
675,0
676,0
677,4
678,2
679,1
680,0
681,1
682,1
683,1
684,2
685,2
686,1
687,1
688,1
689,1
690,1
691,1
692,2
693,1
694,3
695,1
696,1
697,1
698,0
699,0
700,0
701,0
702,2
703,2
704,0
705,1
706,0
707,2
708,1
709,0
710,1
711,1
712,1
713,0
714,2
715,1
716,1
717,0
718,0
719,2
720,2
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,2
737,2
738,2
739,1
740,1
741,0
742,0
743,1
744,1
745,2
746,1
747,1
748,2
749,1
750,0
751,2
752,2
753,1
754,0
755,0
756,3
757,2
758,1
759,1
760,1
761,2
762,1
763,2
764,2
765,1
766,0
767,2
768,2
769,0
770,4
771,2
772,3
773,2
774,0
775,1
776,1
777,1
778,0
779,0
780,0
781,2
782,2
783,1
784,1
785,1
786,2
787,2
788,2
789,2
790,1
791,1
792,1
793,0
794,0
795,0
796,2
797,1
798,0
799,0
