TYPE,userID,latitude,longitude,age,gender,famstatus,lang,profession,hobby,sport,travel_distance,age_group,lang_group,vehicle_life_group,vehiclekind,vehicletype,target_id,,
lead_type,10001,41.58138476,-8.508512416,30,M,married,portoguese,architect,fitness,Watersports,low,young,port_spain_group,Mid,BMWi3,eletric,106,,
lead_type,10002,41.88768757,-7.97872207,19,M,married,french,biker,cinema,basketball,low,young,nonport,Mid,BMW330e,eletric,108,,
lead_type,10003,41.89749354,-7.923801582,49,M,married,english,taxidriver,investing,cycling,high,senior,nonport,Mid,Mercedes-BenzE300,eletric,103,,
lead_type,10004,42.95903,-7.363269908,57,F,married,english,taxidriver,investing,none,high,senior,nonport,Mid,MitsubishiOutlander,eletric,106,,
lead_type,10005,42.70916776,-8.233199449,47,M,married,english,propertymanager,fitness,Canoeing,high,senior,nonport,Family,BMW530,eletric,118,,
lead_type,10006,41.85767914,-8.264957351,43,M,single,spanish,biker,diving,Watersports,medium,midage,port_spain_group,Family,NISSAN,eletric,LEAF,,
lead_type,10007,41.92770916,-7.795507059,39,M,single,portoguese,retailer,cycling,cycling,medium,midage,port_spain_group,VIP,JaguarPace,eletric,131,,
lead_type,10008,42.25371008,-6.038611305,42,F,married,french,agriculturemanager,swimming,motorsport,medium,midage,nonport,VIP,Hyunday,eletric,122,,
lead_type,10009,43.14136073,-7.031288239,53,M,married,portoguese,propertymanager,investing,dancing,high,senior,port_spain_group,Family,Mercedes-BenzE300,eletric,133,,
lead_type,10010,42.7005374,-7.477429664,32,M,single,spanish,itprofessional,diving,Martial,arts,medium,midage,port_spain_group,Family,eletric,Hyunday,,
lead_type,10011,39.84674497,-7.692874653,32,M,single,spanish,retailer,cycling,basketball,medium,midage,port_spain_group,Family,BMWi3,eletric,129,,
lead_type,10012,41.27173559,-7.095569613,41,M,single,spanish,itprofessional,cycling,none,medium,midage,port_spain_group,Family,BMW330e,eletric,136,,
lead_type,10013,40.91103743,-6.336466908,54,M,single,portoguese,biker,shopping,motorsport,high,senior,port_spain_group,Mid,JaguarPace,eletric,139,,
lead_type,10014,41.98459123,-7.849340089,18,M,married,french,biker,meetupsocial,Canoeing,low,young,nonport,Mid,RenaultZOE,eletric,112,,
lead_type,10015,42.11415529,-8.216371286,40,M,married,french,taxidriver,garden,Martial,arts,medium,midage,nonport,VIP,eletric,BMW530,,
lead_type,10016,42.02430087,-7.182759536,34,M,married,spanish,architect,diving,football,medium,midage,port_spain_group,Mid,BMW530,eletric,116,,
lead_type,10017,42.54631794,-7.685035474,41,F,single,french,propertymanager,garden,cycling,medium,midage,nonport,Mid,MitsubishiOutlander,eletric,140,,
lead_type,10018,42.51453735,-7.784839061,21,M,single,portoguese,architect,diving,dancing,low,young,port_spain_group,VIP,MitsubishiOutlander,eletric,109,,
lead_type,10019,40.4111132,-6.881616327,51,M,married,portoguese,agriculturemanager,cinema,basketball,high,senior,port_spain_group,VIP,MitsubishiOutlander,eletric,119,,
lead_type,10020,40.08827301,-7.937633742,31,F,single,french,agriculturemanager,meetupsocial,cycling,medium,midage,nonport,VIP,MitsubishiOutlander,eletric,134,,
lead_type,10021,42.34912347,-7.561901975,29,M,married,spanish,taxidriver,garden,basketball,low,young,port_spain_group,Mid,BMWi3,eletric,123,,
lead_type,10022,42.96868436,-6.803534196,22,M,married,english,tourismmanager,cycling,dancing,low,young,nonport,Family,NISSAN,eletric,LEAF,,
lead_type,10023,41.70253802,-7.94881965,44,M,married,spanish,propertymanager,cycling,dancing,medium,midage,port_spain_group,VIP,BMWi3,eletric,119,,
lead_type,10024,42.70008095,-6.655188721,25,M,married,portoguese,agriculturemanager,meetupsocial,tennis,low,young,port_spain_group,VIP,RenaultZOE,eletric,103,,
lead_type,10025,42.98347757,-7.491552584,38,M,married,portoguese,bankmanager,meetupsocial,none,medium,midage,port_spain_group,Mid,Hyunday,eletric,111,,
lead_type,10026,41.41469164,-6.875651556,53,M,single,portoguese,agriculturemanager,diving,Canoeing,high,senior,port_spain_group,VIP,RenaultZOE,eletric,107,,
lead_type,10027,42.83335972,-7.047363952,52,F,married,portoguese,architect,investing,tennis,high,senior,port_spain_group,VIP,BMW530,eletric,105,,
lead_type,10028,41.78885768,-8.011604404,41,M,married,portoguese,agriculturemanager,cinema,dancing,medium,midage,port_spain_group,Family,BMWi3,eletric,127,,
lead_type,10029,41.98854273,-8.36811147,54,M,married,english,propertymanager,investing,motorsport,high,senior,nonport,Family,MitsubishiOutlander,eletric,109,,
lead_type,10030,42.55889126,-7.624810202,19,M,single,french,biker,garden,motorsport,low,young,nonport,Family,NISSAN,eletric,LEAF,,
lead_type,10031,42.62970066,-8.226109014,54,F,married,english,agriculturemanager,carsocial,dancing,high,senior,nonport,VIP,RenaultZOE,eletric,140,,
lead_type,10032,41.92742349,-7.559886354,32,M,married,french,bankmanager,swimming,Watersports,medium,midage,nonport,VIP,BMW530,eletric,139,,
lead_type,10033,41.34802412,-7.419638133,49,M,single,portoguese,itprofessional,diving,motorsport,high,senior,port_spain_group,Mid,BMW330e,eletric,125,,
lead_type,10034,41.92328694,-8.219124684,28,F,married,french,bankmanager,cinema,Martial,arts,low,young,nonport,Family,eletric,BMW530,,
lead_type,10035,42.50134548,-6.212813029,49,M,single,portoguese,agriculturemanager,fitness,Martial,arts,high,senior,port_spain_group,Mid,eletric,TeslaModel3,,
lead_type,10036,41.97007468,-7.347658251,36,M,single,french,itprofessional,fitness,dancing,medium,midage,nonport,VIP,BMWi3,eletric,118,,
lead_type,10037,42.08412693,-7.698188046,18,M,single,portoguese,retailer,shopping,football,low,young,port_spain_group,Mid,NISSAN,eletric,LEAF,,
lead_type,10038,40.1378886,-8.707801379,28,M,single,french,bankmanager,swimming,basketball,low,young,nonport,VIP,MitsubishiOutlander,eletric,101,,
lead_type,10039,41.45302024,-6.411657209,39,M,single,english,biker,carsocial,Canoeing,medium,midage,nonport,Mid,BMW530,eletric,114,,
lead_type,10040,41.00040051,-7.156547358,20,M,married,portoguese,bankmanager,swimming,motorsport,low,young,port_spain_group,VIP,MitsubishiOutlander,eletric,109,,
lead_type,10041,41.28341653,-6.539602414,35,M,single,spanish,bankmanager,investing,none,medium,midage,port_spain_group,Family,Hyunday,eletric,140,,
