,LeadID,ContaMediaAccount,Distance,SemDistCosine,SemDistHamming,SemDistCorrel,DistVIPHamming,WeightSem,Final,Final2,LeadLong,LeadLat,AgentLong,AgentLat,StoryLead,StoryAgent,VIPLeadStory,VIPAgentStory,MLDecision
6394,10160,135,96.86228967066789,0.9943223378492807,0.6555555555555557,1.898245280582096,0.10000000000000009,0.8,287.2009585451931,0.7324923137832902,-7.205653183,42.97792178,-6.212813029,42.50134548,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[8.0, 44.0, 2.0, 6.0, 9.0, 6.0, 6.0, 30.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['5' '0' '1' '1'],0
6365,10160,106,151.91169884880279,0.9795240590676125,0.5444444444444445,0.7013391563487049,0.10000000000000009,0.6,111.51322772680764,0.3390161466763994,-7.205653183,42.97792178,-8.264957351,41.85767914,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[8.0, 50.0, 2.0, 6.0, 17.0, 3.0, 2.0, 50.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['9' '0' '0' '1'],0
6385,10160,126,175.93576382300031,0.986947210997715,0.43333333333333346,0.7331761608108195,0.10000000000000009,0.7,90.15531943306681,0.2962037867189371,-7.205653183,42.97792178,-6.875651556,41.41469164,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[10.0, 40.0, 2.0, 1.0, 17.0, 6.0, 10.0, 30.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['2' '0' '1' '0'],0
6364,10160,105,88.94519939579209,0.959807237820413,0.21111111111111125,0.2683843263553409,0.10000000000000009,0,0.0,0.020274486444894428,-7.205653183,42.97792178,-8.233199449,42.70916776,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[2.0, 39.0, 10.0, 1.0, 20.0, 7.0, 7.0, 30.0, 0.0]",['10.0' '10.0' '10.0' '10.0'],['4' '2' '0' '0'],0
6367,10160,108,124.9169424051192,0.9856822999337601,0.43333333333333346,0.4425331710387791,0.10000000000000009,0,0.0,0.01936706115018179,-7.205653183,42.97792178,-6.038611305,42.25371008,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[2.0, 34.0, 2.0, 6.0, 13.0, 7.0, 6.0, 30.0, 0.0]",['10.0' '10.0' '10.0' '10.0'],['5' '1' '0' '1'],0
6366,10160,107,126.40757051549751,0.9826421207151822,0.43333333333333346,0.5565488264566596,0.10000000000000009,0,0.0,0.01932853924859565,-7.205653183,42.97792178,-7.795507059,41.92770916,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[8.0, 53.0, 10.0, 6.0, 18.0, 3.0, 5.0, 50.0, 1.0]",['10.0' '10.0' '10.0' '10.0'],['0' '2' '0' '0'],0
6368,10160,109,23.042488256919764,0.9562125305747242,0.21111111111111125,0.2566533814194332,0.10000000000000009,0,0.0,0.02183935694435805,-7.205653183,42.97792178,-7.031288239,43.14136073,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[5.0, 46.0, 10.0, 6.0, 9.0, 1.0, -1.0, 50.0, 0.0]",['10.0' '10.0' '10.0' '10.0'],['3' '0' '1' '1'],0
6363,10160,104,12.995317812411951,0.97808082553793,0.21111111111111125,0.29085048110263234,0.10000000000000009,0,0.0,0.022068182575545003,-7.205653183,42.97792178,-7.363269908,42.95903,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[5.0, 43.0, 10.0, 1.0, 8.0, 1.0, 10.0, 30.0, 0.0]",['10.0' '10.0' '10.0' '10.0'],['9' '0' '0' '1'],0
6320,10159,101,151.1874811178118,0.9998467428283385,0.8777777777777779,11.38640049257239,0.10000000000000009,0.9666666666666667,1258.0866226402995,3.6254467924334053,-6.785097108,42.02675267,-8.508512416,41.58138476,"[10.0, 51.0, 10.0, 6.0, 2.0, 3.0, 6.0, 50.0, 1.0]","[10.0, 50.0, 10.0, 6.0, 2.0, 3.0, 7.0, 50.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['8' '2' '0' '0'],0
6332,10159,113,129.57026896297407,0.9917759353172751,0.7666666666666668,0.5659847342497452,0.10000000000000009,0.8333333333333334,222.47709687826185,0.619838453571431,-6.785097108,42.02675267,-6.336466908,40.91103743,"[10.0, 51.0, 10.0, 6.0, 2.0, 3.0, 6.0, 50.0, 1.0]","[10.0, 46.0, 10.0, 1.0, 2.0, 3.0, -1.0, 50.0, 1.0]",['3.0' '3.0' '3.0' '3.0'],['6' '0' '0' '1'],0
