,LeadID,ContaMediaAccount,Distance,SemDistCosine,SemDistHamming,SemDistCorrel,DistVIPHamming,WeightSem,Final,Final2,LeadLong,LeadLat,AgentLong,AgentLat,StoryLead,StoryAgent,VIPLeadStory,VIPAgentStory
6394,10160,135,52.11720803,0.994322338,0.655555556,1.898245281,0.1,0.8,319.0779822,0.733577266,-8.22,41.2,-8.62,41.56,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[8.0, 44.0, 2.0, 6.0, 9.0, 6.0, 6.0, 30.0, 1.0]",['10' '10' '10' '10'],['5' '0' '1' '1']
6379,10160,120,50.43259705,0.959492944,0.544444444,0.943851162,0.1,0.633333333,163.3086668,0.384460362,-8.22,41.2,-8.62,41.54,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[8.0, 27.0, 2.0, 6.0, 13.0, 12.0, 8.0, 20.0, 1.0]",['10' '10' '10' '10'],['4' '0' '1' '1']
6373,10160,114,93.97023802,0.976573681,0.544444444,1.210617986,0.1,0.633333333,162.173572,0.419563197,-8.22,41.2,-7.95,40.38,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[8.0, 27.0, 2.0, 6.0, 13.0, 7.0, 10.0, 20.0, 1.0]",['10' '10' '10' '10'],['8' '1' '1' '1']
6385,10160,126,34.25232863,0.986947211,0.433333333,0.733176161,0.1,0.7,129.5719348,0.29978319,-8.22,41.2,-8.52,41.41,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[10.0, 40.0, 2.0, 1.0, 17.0, 6.0, 10.0, 30.0, 1.0]",['10' '10' '10' '10'],['2' '0' '1' '0']
6366,10160,107,80.41614182,0.98668595,0.544444444,0.884861096,0.1,0.5,126.9846074,0.323127914,-8.22,41.2,-7.86,40.53,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[8.0, 53.0, 2.0, 6.0, 18.0, 3.0, 5.0, 50.0, 1.0]",['10' '10' '10' '10'],['0' '2' '1' '0']
6372,10160,113,53.71134772,0.949722971,0.322222222,0.335440039,0.1,0.55,59.96211528,0.155482793,-8.22,41.2,-8.69,41.53,"[8.0, 38.0, 2.0, 6.0, 10.0, 4.0, 9.0, 30.0, 1.0]","[10.0, 46.0, 2.0, 1.0, 2.0, 3.0, -1.0, 50.0, 1.0]",['10' '10' '10' '10'],['6' '0' '1' '0']
6325,10159,106,260.5666535,0.977465924,0.655555556,0.708473305,0.1,0.725,111.2222853,0.479996588,-7.84,40.77,-9.11,38.64,"[10.0, 51.0, 10.0, 6.0, 2.0, 3.0, 6.0, 50.0, 1.0]","[8.0, 50.0, 10.0, 6.0, 17.0, 3.0, 2.0, 50.0, 1.0]",['3' '3' '3' '3'],['9' '0' '0' '1']
6318,10158,139,36.30663399,0.997811747,0.544444444,2.561988665,0.1,0.7,285.4611711,0.637158417,-7.51,40.55,-7.91,40.67,"[10.0, 34.0, 10.0, 1.0, 10.0, 8.0, 5.0, 30.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 11.0, 10.0, 6.0, 30.0, 1.0]",['3' '3' '3' '3'],['0' '2' '0' '1']
6301,10158,122,29.59466685,0.99671503,0.544444444,1.988712354,0.1,0.7,252.6943084,0.558873021,-7.51,40.55,-7.86,40.54,"[10.0, 34.0, 10.0, 1.0, 10.0, 8.0, 5.0, 30.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 9.0, 6.0, 7.0, 30.0, 1.0]",['3' '3' '3' '3'],['0' '0' '1' '0']
6261,10157,122,12.93950017,0.980340265,0.544444444,0.939625861,0.35,0.666666667,189.7309944,0.411612419,-7.81,40.65,-7.86,40.54,"[8.0, 46.0, 10.0, 1.0, 8.0, 7.0, 2.0, 50.0, 1.0]","[8.0, 36.0, 10.0, 1.0, 9.0, 6.0, 7.0, 30.0, 1.0]",['1' '1' '1' '1'],['0' '0' '1' '0']
