feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,target
leadf10,leadf20,leadf30,leadf40,leadf50,leadf60,agent0,agent0,agent1
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent0,agent0,agent1
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent1,agent0,agent2
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent2,agent1,agent3
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent3,agent2,agent4
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent4,agent3,agent5
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent5,agent4,agent3
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent3,agent5,agent4
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent4,agent3,agent3
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent3,agent4,agent4
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent4,agent3,agent6
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent6,agent4,agent3
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent3,agent6,agent7
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent7,agent3,agent7
leadf11,leadf20,leadf31,leadf41,leadf51,leadf60,agent7,agent7,agent7
leadf12,leadf20,leadf32,leadf42,leadf52,leadf60,agent0,agent0,agent8
leadf12,leadf20,leadf32,leadf42,leadf52,leadf60,agent8,agent0,agent9
leadf12,leadf20,leadf32,leadf42,leadf52,leadf60,agent9,agent8,agent8
leadf12,leadf20,leadf32,leadf42,leadf52,leadf60,agent8,agent9,agent8
leadf12,leadf20,leadf32,leadf42,leadf52,leadf60,agent8,agent8,agent10
leadf12,leadf20,leadf32,leadf42,leadf52,leadf60,agent10,agent8,agent10
leadf12,leadf20,leadf32,leadf42,leadf52,leadf60,agent10,agent10,agent8
leadf13,leadf20,leadf33,leadf43,leadf53,leadf60,agent0,agent0,agent11
leadf13,leadf20,leadf33,leadf43,leadf53,leadf60,agent11,agent0,agent12
leadf13,leadf20,leadf33,leadf43,leadf53,leadf60,agent12,agent11,agent13
leadf13,leadf20,leadf33,leadf43,leadf53,leadf60,agent13,agent12,agent13
leadf13,leadf20,leadf33,leadf43,leadf53,leadf60,agent13,agent13,agent11
leadf13,leadf20,leadf33,leadf43,leadf53,leadf60,agent11,agent13,agent12
leadf14,leadf20,leadf34,leadf44,leadf54,leadf60,agent0,agent0,agent14
leadf14,leadf20,leadf34,leadf44,leadf54,leadf60,agent14,agent0,agent3
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent0,agent0,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent0,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent15,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent1,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent15,agent16
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent16,agent1,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent16,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent15,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent1,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent15,agent17
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent17,agent15,agent17
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent17,agent17,agent17
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent17,agent17,agent2
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent2,agent17,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent2,agent2
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent2,agent1,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent2,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent1,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent1,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent15,agent2
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent2,agent1,agent2
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent2,agent2,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent2,agent2
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent2,agent1,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent2,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent1,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent1,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent15,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent1,agent18
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent18,agent15,agent19
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent19,agent18,agent20
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent20,agent19,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent20,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent1,agent20
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent20,agent15,agent21
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent21,agent20,agent17
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent17,agent21,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent17,agent21
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent21,agent15,agent20
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent20,agent21,agent20
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent20,agent20,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent20,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent15,agent21
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent21,agent15,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent21,agent15
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent15,agent1,agent20
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent20,agent15,agent21
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent21,agent20,agent21
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent21,agent21,agent22
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent22,agent21,agent23
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent23,agent22,agent2
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent2,agent23,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent2,agent1
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent1,agent1,agent2
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent2,agent1,agent18
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent18,agent2,agent21
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent21,agent18,agent24
leadf15,leadf20,leadf35,leadf45,leadf55,leadf60,agent24,agent21,agent23
