feature1,feature2,feature3,feature4,feature5,feature6,Longitude,Latitude,LongitudeFake,LatitudeLis,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance,Speed,RSRP,RSRQ,feature7,feature8,target
10,20,30,40,50,1,-8.501373,51.893359,-9.152339,38.736946,-8.491719,51.893905,665.24,0,-102,-12,0,0,1
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-102,-12,0,0,1
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-102,-13,1,0,2
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-100,-12,2,1,3
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-99,-13,3,2,4
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-100,-13,4,3,5
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-97,-12,5,4,3
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-98,-12,3,5,4
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-96,-13,4,3,3
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-100,-14,3,4,4
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-107,-15,4,3,6
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-104,-13,6,4,3
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-105,-14,3,6,7
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-107,-13,7,3,7
11,20,31,41,51,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-106,-12,7,7,7
12,20,32,42,52,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-112,-14,0,0,8
12,20,32,42,52,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-110,-15,8,0,9
12,20,32,42,52,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-110,-14,9,8,8
12,20,32,42,52,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-111,-14,8,9,8
12,20,32,42,52,1,-8.501291,51.893462,-9.152257,38.737049,-8.491719,51.893905,658.68,1,-109,-13,8,8,10
