feature1,feature2,feature3,feature4,feature5,feature6,agent1,agent2,target
10,20,30,40,50,60,0,0,1
11,20,31,41,51,60,0,0,1
11,20,31,41,51,60,1,0,2
11,20,31,41,51,60,2,1,3
11,20,31,41,51,60,3,2,4
11,20,31,41,51,60,4,3,5
11,20,31,41,51,60,5,4,3
11,20,31,41,51,60,3,5,4
11,20,31,41,51,60,4,3,3
11,20,31,41,51,60,3,4,4
11,20,31,41,51,60,4,3,6
11,20,31,41,51,60,6,4,3
11,20,31,41,51,60,3,6,7
11,20,31,41,51,60,7,3,7
11,20,31,41,51,60,7,7,7
12,20,32,42,52,60,0,0,8
12,20,32,42,52,60,8,0,9
12,20,32,42,52,60,9,8,8
12,20,32,42,52,60,8,9,8
12,20,32,42,52,60,8,8,10
12,20,32,42,52,60,10,8,10
12,20,32,42,52,60,10,10,8
13,20,33,43,53,60,0,0,11
13,20,33,43,53,60,11,0,12
13,20,33,43,53,60,12,11,13
13,20,33,43,53,60,13,12,13
13,20,33,43,53,60,13,13,11
13,20,33,43,53,60,11,13,12
14,20,34,44,54,60,0,0,14
14,20,34,44,54,60,14,0,3
15,20,35,45,55,60,0,0,15
15,20,35,45,55,60,15,0,1
15,20,35,45,55,60,1,15,15
15,20,35,45,55,60,15,1,1
15,20,35,45,55,60,1,15,16
15,20,35,45,55,60,16,1,15
15,20,35,45,55,60,15,16,1
15,20,35,45,55,60,1,15,15
15,20,35,45,55,60,15,1,15
15,20,35,45,55,60,15,15,17
15,20,35,45,55,60,17,15,17
15,20,35,45,55,60,17,17,17
15,20,35,45,55,60,17,17,2
15,20,35,45,55,60,2,17,1
15,20,35,45,55,60,1,2,2
15,20,35,45,55,60,2,1,1
15,20,35,45,55,60,1,2,1
15,20,35,45,55,60,1,1,15
15,20,35,45,55,60,15,1,1
15,20,35,45,55,60,1,15,2
15,20,35,45,55,60,2,1,2
15,20,35,45,55,60,2,2,1
15,20,35,45,55,60,1,2,2
15,20,35,45,55,60,2,1,1
15,20,35,45,55,60,1,2,1
15,20,35,45,55,60,1,1,15
15,20,35,45,55,60,15,1,1
15,20,35,45,55,60,1,15,15
15,20,35,45,55,60,15,1,18
15,20,35,45,55,60,18,15,19
15,20,35,45,55,60,19,18,20
15,20,35,45,55,60,20,19,1
15,20,35,45,55,60,1,20,15
15,20,35,45,55,60,15,1,20
15,20,35,45,55,60,20,15,21
15,20,35,45,55,60,21,20,17
15,20,35,45,55,60,17,21,15
15,20,35,45,55,60,15,17,21
15,20,35,45,55,60,21,15,20
15,20,35,45,55,60,20,21,20
15,20,35,45,55,60,20,20,15
15,20,35,45,55,60,15,20,15
15,20,35,45,55,60,15,15,21
15,20,35,45,55,60,21,15,1
15,20,35,45,55,60,1,21,15
15,20,35,45,55,60,15,1,20
15,20,35,45,55,60,20,15,21
15,20,35,45,55,60,21,20,21
15,20,35,45,55,60,21,21,22
15,20,35,45,55,60,22,21,23
15,20,35,45,55,60,23,22,2
15,20,35,45,55,60,2,23,1
15,20,35,45,55,60,1,2,1
15,20,35,45,55,60,1,1,2
15,20,35,45,55,60,2,1,18
