TYPE,userID,UserLatitude,UserLongitude,age,gender,famstatus,lang,profession,hobby,sport,travel_distance,age_group,lang_group,agent_experience,agent_location_group,alpha,Exclusive,target_id
agent_type,101,41.55,-8.76,50,2,6,10,2,3,7,1000,50,1,8,2,1,1,10053
agent_type,102,41.16,-8.41,55,5,6,8,20,10,2,1000,50,1,5,0,0,1,10017
agent_type,103,41.61,-8.7,56,2,1,5,17,7,7,1000,50,0,8,2,1,0,10150
agent_type,104,41.57,-8.61,43,2,1,5,8,1,10,500,30,0,9,0,1,0,10089
agent_type,105,41.57,-8.61,39,2,1,2,20,7,7,500,30,0,4,2,1,0,10028
agent_type,106,41.3,-8.57,50,10,6,8,17,3,2,1000,50,1,9,0,0,1,10120
agent_type,107,41.3,-8.57,53,2,6,8,18,3,5,1000,50,1,0,2,1,0,10102
agent_type,108,41.82,-7.31,34,10,6,2,13,7,6,500,30,0,5,1,0,1,10131
agent_type,109,41.77,-7.61,46,2,6,5,9,1,-1,1000,50,0,3,0,0,1,10151
agent_type,110,41.53,-8.62,24,5,1,5,2,5,5,100,20,0,6,0,1,1,10050
agent_type,111,38.64,-9.11,43,2,6,5,10,1,7,500,30,0,0,0,0,0,10061
agent_type,112,40.53,-7.86,23,2,6,10,13,8,6,100,20,1,3,2,0,1,10010
agent_type,113,40.45,-7.57,46,2,1,10,2,3,-1,1000,50,1,6,0,1,0,10153
agent_type,114,40.66,-7.91,27,2,6,8,13,7,10,100,20,1,8,1,1,1,10050
agent_type,115,41.09,-8.29,25,2,1,2,11,4,5,100,20,0,5,0,0,1,10077
agent_type,116,41.41,-8.52,54,2,6,2,2,7,11,1000,50,0,4,1,1,0,10008
agent_type,117,41.11,-7.96,56,2,1,5,9,1,11,1000,50,0,5,0,0,0,10022
agent_type,118,41.53,-8.69,57,2,1,2,1,1,9,1000,50,0,6,2,1,1,10128
agent_type,119,40.38,-7.95,21,2,1,2,8,5,-1,100,20,0,1,1,0,1,10075
agent_type,120,38.91,-8.99,27,2,6,8,13,12,8,100,20,1,4,0,1,1,10137
agent_type,121,41.34,-8,31,2,6,5,13,12,6,500,30,0,1,2,1,1,10037
agent_type,122,40.8,-7.5,36,10,1,8,9,6,7,500,30,1,0,0,1,0,10135
agent_type,123,40.16,-8.34,28,5,6,5,11,5,2,100,20,0,1,2,0,1,10010
agent_type,124,39.01,-7.37,27,10,6,5,2,6,4,100,20,0,7,0,1,0,10137
agent_type,125,40.28,-7.81,47,2,1,5,10,7,6,1000,50,0,1,0,0,1,10126
agent_type,126,41.58,-7.8,40,2,1,10,17,6,10,500,30,1,2,0,1,0,10012
agent_type,127,40.9,-8.69,40,10,6,2,2,4,7,500,30,0,9,0,1,1,10039
agent_type,128,41.13,-8.69,55,5,1,10,20,8,8,1000,50,1,4,0,0,0,10103
agent_type,129,40.6,-8.4,54,2,1,5,11,8,-1,1000,50,0,1,2,0,1,10071
agent_type,130,39.48,-8.5,42,2,1,5,20,5,10,500,30,0,7,2,0,1,10150
agent_type,131,40.75,-7.56,51,2,1,2,13,4,11,1000,50,0,6,1,1,0,10075
agent_type,132,40.39,-7.55,24,2,1,5,13,3,10,100,20,0,1,0,1,0,10045
agent_type,133,40.74,-7.55,48,10,6,5,1,10,8,1000,50,0,6,2,1,0,10089
agent_type,134,39.64,-7.38,27,2,1,2,1,6,5,100,20,0,0,2,1,0,10046
agent_type,135,40.43,-8.54,44,2,6,8,9,6,6,500,30,1,5,0,1,1,10034
agent_type,136,39.25,-7.65,35,2,1,5,13,4,4,500,30,0,5,0,1,1,10074
agent_type,137,41.49,-8.54,38,10,1,2,8,3,7,500,30,0,1,2,1,1,10053
agent_type,138,41.55,-8.76,50,5,1,5,2,8,-1,1000,50,0,7,2,0,1,10051
agent_type,139,41.16,-8.41,36,10,1,8,11,10,6,500,30,1,0,2,0,1,10058
agent_type,140,41.61,-8.7,47,5,1,2,17,5,6,1000,50,0,1,2,1,1,10155
